/home/user/anaconda3/lib/python3.12/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
Using cuda device
Logging to logs/w3_ours_v3.1/seed1/tb_logs/PPO_1
---------------------------------
| energy/            |          |
|    E_damp_J             | 0.0233      |
|    E_fric_J             | 0.011       |
|    E_norm_J             | 0.00507     |
|    W_neg_J              | 0.0376      |
|    W_pos_J              | 0.0646      |
| reward/                 |             |
|    r_energy             | -0.0642     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -45.7       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 30          |
|    time_elapsed         | 2563        |
|    total_timesteps      | 122880      |
| train/                  |             |
|    approx_kl            | 0.014569519 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.3       |
|    explained_variance   | 0.0155      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.96        |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0221     |
|    std                  | 0.922       |
|    value_loss           | 7.6         |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0528      |
|    E_fric_J             | 0.0113      |
|    E_norm_J             | 0.0226      |
|    W_neg_J              | 0.0654      |
|    W_pos_J              | 0.127       |
| reward/                 |             |
|    r_energy             | -0.132      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -43.6       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 31          |
|    time_elapsed         | 2652        |
|    total_timesteps      | 126976      |
| train/                  |             |
|    approx_kl            | 0.015851539 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.2       |
|    explained_variance   | 0.0228      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.03        |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.022      |
|    std                  | 0.916       |
|    value_loss           | 5.93        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0333      |
|    E_fric_J             | 0.0106      |
|    E_norm_J             | 0.00493     |
|    W_neg_J              | 0.0368      |
|    W_pos_J              | 0.0894      |
| reward/                 |             |
|    r_energy             | -0.0758     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -41.3       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 32          |
|    time_elapsed         | 2738        |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.015949154 |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.1       |
|    explained_variance   | 0.0259      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.76        |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0199     |
|    std                  | 0.911       |
|    value_loss           | 6.37        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0479      |
|    E_fric_J             | 0.0113      |
|    E_norm_J             | 0.022       |
|    W_neg_J              | 0.0615      |
|    W_pos_J              | 0.109       |
| reward/                 |             |
|    r_energy             | -0.121      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -37.9       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 33          |
|    time_elapsed         | 2825        |
|    total_timesteps      | 135168      |
| train/                  |             |
|    approx_kl            | 0.014666927 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -13         |
|    explained_variance   | 0.0376      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.58        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0221     |
|    std                  | 0.905       |
|    value_loss           | 5.39        |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.0243     |
|    E_fric_J             | 0.011      |
|    E_norm_J             | 0.00502    |
|    W_neg_J              | 0.0304     |
|    W_pos_J              | 0.0653     |
| reward/                 |            |
|    r_energy             | -0.0605    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | -34.6      |
| time/                   |            |
|    fps                  | 47         |
|    iterations           | 34         |
|    time_elapsed         | 2911       |
|    total_timesteps      | 139264     |
| train/                  |            |
|    approx_kl            | 0.01594938 |
|    clip_fraction        | 0.18       |
|    clip_range           | 0.2        |
|    entropy_loss         | -13        |
|    explained_variance   | 0.0476     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.67       |
|    n_updates            | 330        |
|    policy_gradient_loss | -0.0231    |
|    std                  | 0.899      |
|    value_loss           | 5.32       |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0526      |
|    E_fric_J             | 0.0116      |
|    E_norm_J             | 0.0215      |
|    W_neg_J              | 0.0661      |
|    W_pos_J              | 0.124       |
| reward/                 |             |
|    r_energy             | -0.13       |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -32.6       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 35          |
|    time_elapsed         | 2998        |
|    total_timesteps      | 143360      |
| train/                  |             |
|    approx_kl            | 0.015341013 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.9       |
|    explained_variance   | 0.058       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.6         |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.019      |
|    std                  | 0.894       |
|    value_loss           | 4.57        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0249      |
|    E_fric_J             | 0.0102      |
|    E_norm_J             | 0.00477     |
|    W_neg_J              | 0.0305      |
|    W_pos_J              | 0.0659      |
| reward/                 |             |
|    r_energy             | -0.0604     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -32.7       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 36          |
|    time_elapsed         | 3086        |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.015434753 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.9       |
|    explained_variance   | 0.0511      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.1         |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0211     |
|    std                  | 0.893       |
|    value_loss           | 4.35        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.047       |
|    E_fric_J             | 0.0102      |
|    E_norm_J             | 0.0217      |
|    W_neg_J              | 0.0506      |
|    W_pos_J              | 0.116       |
